movie_id,title,popularity,vote_count,vote_average,release_date,original_language,genre_ids,source_type
1523145,Your Heart Will Be Broken,929.5163,54,6.75,2026-03-26,ru,"[10749, 18]",popular
83533,Avatar: Fire and Ash,396.4403,2468,7.374,2025-12-17,en,"[878, 12, 14]",popular
1327819,Hoppers,362.734,425,7.586,2026-03-04,en,"[16, 10751, 878, 35, 12]",popular
1290821,Shelter,277.9609,505,6.789,2026-01-28,en,"[28, 80, 53]",popular
1171145,Crime 101,258.5828,576,7.1,2026-02-11,en,"[80, 53]",popular
1226863,The Super Mario Galaxy Movie,227.6338,338,6.939,2026-04-01,en,"[10751, 35, 12, 14, 16]",popular
502356,The Super Mario Bros. Movie,282.7132,10454,7.6,2023-04-05,en,"[10751, 35, 12, 14, 16]",popular
1115544,Mike & Nick & Nick & Alice,223.1751,196,6.829,2026-03-14,en,"[35, 878, 80]",popular
1297842,GOAT,213.3831,353,7.9,2026-02-11,en,"[16, 35, 10751]",popular
840464,Greenland 2: Migration,228.4013,834,6.49,2026-01-07,en,"[12, 53, 878]",popular
1268127,Humint,190.7011,67,7.269,2026-02-11,ko,"[53, 28, 18]",popular
1084187,Pretty Lethal,177.2785,237,6.9,2026-03-13,en,"[10402, 53, 28, 27]",popular
687163,Project Hail Mary,199.6673,1197,8.19,2026-03-15,en,"[878, 12]",popular
1265609,War Machine,182.1927,1375,7.239,2026-02-12,en,"[28, 878, 53]",popular
1159559,Scream 7,165.3555,699,6.036,2026-02-25,en,"[27, 9648, 80]",popular
1159831,The Bride!,174.1869,254,6.4,2026-03-04,en,"[878, 27, 14]",popular
662707,Starbright,157.283,10,7.3,2026-02-27,en,"[12, 28]",popular
615,The Passion of the Christ,161.8747,5140,7.537,2004-02-25,en,[18],popular
848116,Rocky Aur Rani Kii Prem Kahaani,137.7277,80,6.1,2023-07-28,hi,"[35, 18, 10751, 10749]",popular
1470130,The Mortuary Assistant,153.538,44,5.432,2026-02-13,en,"[27, 9648]",popular
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,129.1147,782,7.668,2025-07-18,ja,"[16, 28, 14]",popular
1084242,Zootopia 2,133.0664,2511,7.604,2025-11-26,en,"[16, 10751, 9648, 12, 35, 28]",popular
1419406,The Shadow's Edge,132.3308,557,7.233,2025-08-16,zh,"[28, 80, 18, 53]",popular
329505,Lola's Secret,101.508,68,6.9,1984-05-04,it,"[18, 35, 27]",popular
1193501,Whistle,109.0603,227,5.976,2026-01-20,en,"[27, 9648]",popular
1339876,Mardaani 3,95.169,19,7.447,2026-01-30,hi,"[28, 80, 53]",popular
